outid,count,opfare
1401014101,42,294
1401014102,42,524
1401014103,14,128
1401014104,41,444
1401014105,47,1182
1401014106,56,713
1401014107,35,515
1401014108,47,397
1401014109,41,384
1401014110,9,28
1401014111,13,87
1401014112,34,590
1401014113,26,319
1401014115,30,436
1401014116,39,814
1401014117,49,1017
1401014118,45,985
1401014119,25,499
1401014120,37,758
1401014121,25,678
1401014123,38,1014
1401014125,35,370
1401014126,21,125
1401014127,14,168
1401014128,30,390
1401014129,42,991
1401014130,8,29
1401014131,20,186
1401014132,40,775
1401014133,32,289
1401014134,46,684
1401014136,37,480
1401014137,41,1092
1401014138,45,1787
1401014139,34,532
1401014141,31,840
1401014142,24,549
1401014143,22,213
1401014144,44,826
1401014145,23,183
1401014146,34,962
1401014148,31,579
1401014151,33,839
1401014152,26,520
1401014153,38,595
1401014154,17,86
1401014155,28,1049
1401024101,22,381
1401024102,53,669
1401024103,43,487
1401024104,56,443
1401024105,37,411
1401024106,29,461
1401024107,22,273
1401024108,34,624
1401024110,56,1240
1401024111,43,863
1401024112,22,292
1401024113,22,926
1401024114,55,720
1401024115,47,590
1401024116,53,1105
1401024117,14,106
1401024118,37,769
1401024119,41,1047
1401024120,48,985
1401024121,44,1040
1401024122,52,890
1401024123,40,560
1401024124,15,176
1401024125,53,1231
1401024126,40,527
1401024127,46,482
1401024128,22,178
1401024129,24,246
1401024131,18,323
1401024132,50,1149
1401024133,17,116
1401024134,52,942
1401024135,57,1120
1401024136,39,794
1401024137,11,560
1401024138,67,1043
1401024139,16,102
1401024140,40,795
1401024141,38,703
1401024142,50,1272
1401024143,47,1241
1401024144,54,900
1401024145,60,817
1401024146,40,976
1401024147,44,1224
1401024148,34,762
1401024149,68,1195
1401024150,46,679
1401024151,46,608
1401024152,37,1164
1401024153,8,49
1401024154,23,259
1401024155,35,793
1401024201,30,239
1401024202,36,426
1401024203,65,487
1401024204,27,130
1401024205,15,170
1401024206,30,391
1401024207,54,1651
1401024208,30,310
1401024209,14,113
1401024210,27,693
1401024211,26,1060
1401024212,37,1368
1401024213,31,730
1401024214,30,513
1401024215,39,695
1401024216,40,430
1401024217,15,211
1401024218,44,715
1401024219,33,313
1401024220,43,575
1401024221,50,652
1401024222,39,901
1401024223,32,832
1401024224,30,399
1401024225,44,1086
1401024226,34,682
1401024228,34,267
1401024230,4,45
1401024231,36,802
1401024232,27,760
1401024233,44,625
1401024234,27,414
1401024235,46,832
1401024236,54,1111
1401024238,66,856
1401024239,46,1103
1401024240,26,669
1401024241,48,992
1401024242,36,652
1401024243,33,546
1401024244,36,663
1401024245,51,970
1401024246,32,491
1401024247,21,147
1401024248,33,496
1401024249,41,863
1401024250,52,922
1401024251,16,251
1401024252,39,602
1401024253,23,366
1401024254,22,445
1401034101,48,613
1401034102,26,196
1401034104,40,381
1401034105,38,447
1401034106,45,443
1401034107,50,502
1401034108,34,490
1401034109,31,775
1401034110,38,748
1401034111,31,546
1401034112,53,1195
1401034113,41,864
1401034114,58,1109
1401034115,46,946
1401034116,41,788
1401034117,34,837
1401034118,54,976
1401034119,41,850
1401034120,30,622
1401034121,56,787
1401034122,46,887
1401034123,34,961
1401034124,40,965
1401034125,33,539
1401034126,28,427
1401034127,43,898
1401034128,30,845
1401034129,55,1261
1401034130,40,1036
1401034131,46,902
1401034132,46,745
1401034133,41,503
1401034134,38,556
1401034135,48,821
1401034136,37,450
1401034137,29,747
1401034138,22,528
1401034139,46,629
1401034140,31,1323
1401034141,30,241
1401034142,40,663
1401034143,56,1023
1401034144,42,1197
1401034145,27,792
1401034146,46,934
1401034147,37,1244
